task_id,office_type,task_type,mode,model,seed,Q,TMS,prompt_tokens,completion_tokens,total_tokens,elapsed,llm_calls,error
t-DOC-H-03,document,high_coupling,team,deepseek-v4-pro,1,0.92,True,11910,22088,33998,333.97,4,""
t-DOC-L-01,document,low_coupling,single,deepseek-v4-pro,0,0.92,True,953,2506,3459,27.44,1,""
t-DOC-L-01,document,low_coupling,team,deepseek-v4-pro,0,0.92,True,4632,10539,15171,118.28,3,""
t-DOC-L-01,document,low_coupling,single,deepseek-v4-pro,1,0.92,True,953,5072,6025,54.12,1,""
t-DOC-L-01,document,low_coupling,team,deepseek-v4-pro,1,0.92,True,5208,9078,14286,105.98,3,""
t-DOC-M-02,document,medium_coupling,single,deepseek-v4-pro,0,0.8575,True,454,4501,4955,63.52,1,""
t-DOC-M-02,document,medium_coupling,team,deepseek-v4-pro,0,0.6075,False,5715,11883,17598,169.27,3,""
t-DOC-M-02,document,medium_coupling,single,deepseek-v4-pro,1,0.8341,True,454,7216,7670,85.64,1,""
t-DOC-M-02,document,medium_coupling,team,deepseek-v4-pro,1,0.67,True,5667,12427,18094,176.72,3,""
t-PROJ-H-03,project,high_coupling,single,deepseek-v4-pro,0,0.8658,True,1139,10644,11783,114.75,1,""
t-PROJ-H-03,project,high_coupling,team,deepseek-v4-pro,0,0.9137,True,9890,27623,37513,301.34,4,""
t-PROJ-H-03,project,high_coupling,single,deepseek-v4-pro,1,0.8283,True,1139,19196,20335,210.08,1,""
t-PROJ-H-03,project,high_coupling,team,deepseek-v4-pro,1,0.9137,True,12262,27304,39566,296.32,4,""
t-PROJ-L-01,project,low_coupling,single,deepseek-v4-pro,0,0.62,False,986,3737,4723,49.15,1,""
t-PROJ-L-01,project,low_coupling,team,deepseek-v4-pro,0,0.62,False,5685,15711,21396,180.39,3,""
t-PROJ-L-01,project,low_coupling,single,deepseek-v4-pro,1,0.5992,False,986,4101,5087,50.0,1,""
t-PROJ-L-01,project,low_coupling,team,deepseek-v4-pro,1,0.62,False,5695,8192,13887,96.75,3,""
t-PROJ-M-02,project,medium_coupling,single,deepseek-v4-pro,0,0.795,True,1330,5173,6503,60.12,1,""
t-PROJ-M-02,project,medium_coupling,team,deepseek-v4-pro,0,0.795,False,6215,11141,17356,147.5,3,""
t-PROJ-M-02,project,medium_coupling,single,deepseek-v4-pro,1,0.795,True,1330,7901,9231,101.08,1,""
t-PROJ-M-02,project,medium_coupling,team,deepseek-v4-pro,1,0.795,False,5991,15651,21642,201.18,3,""
