task_id,office_type,task_type,mode,model,seed,Q,TMS,prompt_tokens,completion_tokens,total_tokens,elapsed,llm_calls,error
t-DATA-H-03,data,high_coupling,single,deepseek-v4-flash,0,0.92,True,3758,1348,5106,9.98,1,""
t-DATA-H-03,data,high_coupling,team,deepseek-v4-flash,0,0.92,True,13031,9338,22369,70.13,3,""
t-DATA-H-03,data,high_coupling,single,deepseek-v4-flash,1,0.92,True,3758,853,4611,6.12,1,""
t-DATA-H-03,data,high_coupling,team,deepseek-v4-flash,1,0.92,True,12031,5033,17064,42.59,3,""
t-DATA-L-01,data,low_coupling,single,deepseek-v4-flash,0,0.7533,True,2574,8236,10810,58.55,1,""
t-DATA-L-01,data,low_coupling,team,deepseek-v4-flash,0,0.62,False,5304,2771,8075,19.92,2,""
t-DATA-L-01,data,low_coupling,single,deepseek-v4-flash,1,0.8367,True,2574,10009,12583,51.6,1,""
t-DATA-L-01,data,low_coupling,team,deepseek-v4-flash,1,0.62,False,5358,14698,20056,108.76,2,""
t-DATA-M-02,data,medium_coupling,single,deepseek-v4-flash,0,0.92,True,608,8016,8624,72.02,1,""
t-DATA-M-02,data,medium_coupling,team,deepseek-v4-flash,0,0.92,True,3108,2598,5706,25.66,3,""
t-DATA-M-02,data,medium_coupling,single,deepseek-v4-flash,1,0.8137,True,608,3212,3820,31.16,1,""
t-DATA-M-02,data,medium_coupling,team,deepseek-v4-flash,1,0.9137,True,2918,3223,6141,33.62,3,""
t-DOC-H-03,document,high_coupling,single,deepseek-v4-flash,0,0.8575,True,693,6088,6781,47.59,1,""
t-DOC-H-03,document,high_coupling,team,deepseek-v4-flash,0,0.92,True,12421,14429,26850,137.24,4,""
t-DOC-H-03,document,high_coupling,single,deepseek-v4-flash,1,0.92,True,693,3166,3859,27.95,1,""
t-DOC-H-03,document,high_coupling,team,deepseek-v4-flash,1,0.92,True,11322,13161,24483,119.42,4,""
t-DOC-L-01,document,low_coupling,single,deepseek-v4-flash,0,0.92,True,953,1409,2362,11.43,1,""
t-DOC-L-01,document,low_coupling,team,deepseek-v4-flash,0,0.92,True,5183,7778,12961,59.24,3,""
t-DOC-L-01,document,low_coupling,single,deepseek-v4-flash,1,0.92,True,953,9300,10253,67.78,1,""
t-DOC-L-01,document,low_coupling,team,deepseek-v4-flash,1,0.92,True,4396,7308,11704,55.45,3,""
t-DOC-M-02,document,medium_coupling,single,deepseek-v4-flash,0,0.8575,True,454,5532,5986,51.8,1,""
t-DOC-M-02,document,medium_coupling,team,deepseek-v4-flash,0,0.7325,True,6569,8285,14854,89.04,3,""
t-DOC-M-02,document,medium_coupling,single,deepseek-v4-flash,1,0.8536,True,454,5131,5585,45.13,1,""
t-DOC-M-02,document,medium_coupling,team,deepseek-v4-flash,1,0.7286,True,7422,11270,18692,116.26,3,""
t-PROJ-H-03,project,high_coupling,single,deepseek-v4-flash,0,0.7137,True,1139,29316,30455,203.78,1,""
t-PROJ-H-03,project,high_coupling,team,deepseek-v4-flash,0,0.8825,True,10344,16994,27338,131.19,4,""
t-PROJ-H-03,project,high_coupling,single,deepseek-v4-flash,1,0.9137,True,1139,19529,20668,138.79,1,""
t-PROJ-H-03,project,high_coupling,team,deepseek-v4-flash,1,0.8825,True,8613,20121,28734,158.83,4,""
t-PROJ-L-01,project,low_coupling,single,deepseek-v4-flash,0,0.6096,False,986,8382,9368,63.76,1,""
t-PROJ-L-01,project,low_coupling,team,deepseek-v4-flash,0,0.62,False,3709,2806,6515,24.51,3,""
t-PROJ-L-01,project,low_coupling,single,deepseek-v4-flash,1,0.5575,False,986,4789,5775,37.77,1,""
t-PROJ-L-01,project,low_coupling,team,deepseek-v4-flash,1,0.62,False,4259,4545,8804,42.27,3,""
t-PROJ-M-02,project,medium_coupling,single,deepseek-v4-flash,0,0.92,True,1330,4159,5489,33.65,1,""
t-PROJ-M-02,project,medium_coupling,team,deepseek-v4-flash,0,0.9044,True,6478,5628,12106,54.08,3,""
t-PROJ-M-02,project,medium_coupling,single,deepseek-v4-flash,1,0.92,True,1330,5335,6665,39.35,1,""
t-PROJ-M-02,project,medium_coupling,team,deepseek-v4-flash,1,0.8731,True,6032,5613,11645,55.02,3,""
